user_id,age,country,subscription,join_date
U0062,50,India,Free,2024-02-20
U0063,40,US,Free,2024-06-10
U0064,41,India,Free,2023-10-26
U0065,46,Germany,Premium,2023-11-02
U0066,37,Germany,Premium,2024-10-08
U0067,51,US,Premium,2024-08-25
U0068,53,India,Premium,2025-07-06
U0069,24,UK,Basic,2025-04-29
U0070,25,US,Premium,2024-03-13
U0071,53,UK,Basic,2024-12-06
U0072,36,Germany,Free,2024-03-25
U0073,63,India,Free,2025-02-19
U0074,61,Australia,Basic,2024-02-06
U0075,50,Canada,Basic,2024-01-10
U0076,21,US,Premium,2024-01-13
U0077,45,India,Free,2025-08-26
U0078,18,India,Free,2025-05-14
U0079,58,India,Free,2023-07-15
U0080,65,Canada,Premium,2024-05-30
U0081,63,Canada,Premium,2024-11-01
U0082,18,US,Free,2024-12-30
U0083,62,UK,Premium,2024-05-26
U0084,20,India,Premium,2025-11-11
U0085,53,UK,Basic,2025-10-13
U0086,26,US,Basic,2024-08-12
U0087,41,US,Basic,2024-06-24
U0088,31,Australia,Free,2025-04-26
U0089,60,US,Basic,2024-01-10
U0090,53,Canada,Premium,2025-06-25
U0091,65,UK,Free,2025-07-30
U0092,28,UK,Basic,2026-01-05
U0093,19,UK,Premium,2025-11-18
U0094,39,Canada,Premium,2023-09-01
U0095,65,UK,Basic,2026-03-09
U0096,28,Australia,Free,2024-06-09
U0097,42,US,Basic,2024-04-02
U0098,32,UK,Basic,2025-09-26
U0099,40,India,Free,2026-02-26
U0100,32,US,Premium,2024-07-31
U0101,30,Canada,Basic,2025-04-18
U0102,35,US,Basic,2023-06-09
U0103,40,Australia,Premium,2025-04-25
U0104,43,Australia,Premium,2025-12-14
U0105,39,US,Free,2025-03-06
U0106,34,UK,Premium,2024-12-29
U0107,34,US,Free,2024-06-21
U0108,56,Canada,Basic,2024-03-12
U0109,64,India,Basic,2026-03-20
U0110,56,Germany,Free,2023-11-11
U0111,42,Germany,Free,2023-06-29
U0112,34,US,Premium,2024-07-30
U0113,45,US,Premium,2025-02-25
U0114,52,Australia,Premium,2023-11-13
U0115,65,Australia,Premium,2023-07-14
U0116,30,India,Basic,2023-11-21
U0117,22,Australia,Basic,2023-11-18
U0118,57,India,Premium,2024-12-11
U0119,25,Australia,Basic,2023-11-13
U0120,50,India,Premium,2023-12-28
U0121,44,India,Basic,2024-05-26
U0122,62,India,Premium,2023-11-21
U0123,26,UK,Basic,2024-02-29
U0124,60,Canada,Premium,2023-09-26
U0125,65,UK,Premium,2025-07-09
U0126,54,India,Basic,2025-09-03
U0127,53,US,Basic,2023-09-10
U0128,36,UK,Basic,2025-05-16
U0129,55,Germany,Premium,2025-02-26
U0130,38,Canada,Basic,2024-06-02
U0131,46,Australia,Free,2023-11-21
U0132,50,Canada,Premium,2023-10-03
U0133,28,Australia,Free,2025-10-07
U0134,36,Germany,Premium,2025-01-05
U0135,58,Germany,Basic,2025-08-31
U0136,23,UK,Premium,2024-01-05
U0137,37,UK,Free,2026-03-14
U0138,27,US,Free,2023-06-03
U0139,33,Canada,Premium,2025-04-21
U0140,22,Canada,Basic,2026-03-13
U0141,58,Germany,Free,2023-05-26
U0142,63,Australia,Basic,2025-08-08
U0143,49,Canada,Free,2026-01-02
U0144,27,Australia,Premium,2025-10-22
U0145,18,US,Basic,2024-05-17
U0146,32,UK,Premium,2024-06-28
U0147,51,Canada,Free,2023-12-18
U0148,53,UK,Free,2024-11-30
U0149,47,UK,Basic,2023-12-12
U0150,60,Germany,Premium,2025-04-15
U0151,56,India,Basic,2025-08-05
U0152,57,Australia,Premium,2025-02-06
U0153,45,Germany,Basic,2024-12-19
U0154,28,Australia,Basic,2023-12-17
U0155,46,India,Free,2023-07-19
U0156,58,India,Premium,2025-06-05
U0157,49,Australia,Free,2025-10-30
U0158,35,Canada,Free,2025-01-25
U0159,63,India,Free,2023-09-19
U0160,35,India,Basic,2025-04-05
U0161,52,US,Free,2025-03-30
U0162,27,UK,Basic,2023-07-18
U0163,62,UK,Premium,2024-05-12
U0164,31,US,Basic,2024-07-22
U0165,44,India,Premium,2026-01-16
U0166,47,Canada,Free,2025-07-07
U0167,31,Canada,Basic,2024-02-12
U0168,55,Australia,Free,2025-08-28
U0169,54,Canada,Basic,2024-06-11
U0170,18,India,Basic,2024-09-26
U0171,42,Canada,Premium,2024-08-24
U0172,65,Australia,Premium,2023-05-02
U0173,56,UK,Basic,2024-02-03
U0174,32,India,Basic,2025-09-23
U0175,49,US,Basic,2023-06-30
U0176,39,Australia,Premium,2023-08-28
U0177,43,Australia,Free,2025-09-17
U0178,47,UK,Premium,2025-04-03
U0179,52,US,Basic,2024-12-18
U0180,55,Germany,Premium,2025-05-30
U0181,19,US,Premium,2024-11-25
U0182,45,UK,Basic,2024-04-09
U0183,29,US,Basic,2024-01-08
U0184,42,India,Free,2026-01-16
U0185,47,India,Basic,2025-01-05
U0186,42,India,Basic,2024-07-11
U0187,34,US,Basic,2025-11-30
U0188,19,Australia,Premium,2025-06-13
U0189,21,India,Free,2024-01-29
U0190,59,US,Premium,2024-03-15
U0191,20,US,Free,2023-12-12
U0192,30,US,Premium,2024-02-11
U0193,27,UK,Free,2025-04-02
U0194,48,Australia,Free,2024-05-23
U0195,54,UK,Basic,2024-04-30
U0196,62,India,Basic,2025-02-15
U0197,28,Germany,Premium,2024-08-13
U0198,65,Australia,Free,2024-06-26
U0199,28,India,Free,2023-12-07
U0200,55,US,Basic,2024-08-16
U0201,54,Australia,Basic,2024-04-17
U0202,43,Australia,Free,2023-06-27
U0203,22,Germany,Premium,2024-02-02
U0204,58,UK,Free,2023-08-13
U0205,62,India,Premium,2024-07-06
U0206,56,US,Premium,2023-04-21
U0207,20,India,Premium,2025-09-28
U0208,45,Australia,Basic,2026-02-03
U0209,22,Germany,Premium,2023-07-21
U0210,39,US,Basic,2024-04-15
U0211,49,US,Basic,2024-02-28
U0212,41,Australia,Basic,2024-10-16
U0213,63,UK,Basic,2023-10-30
U0214,29,Australia,Premium,2026-03-16
U0215,59,India,Premium,2024-10-25
U0216,52,Canada,Basic,2025-01-08
U0217,45,Australia,Premium,2024-10-04
U0218,35,India,Free,2024-07-26
U0219,23,India,Basic,2024-04-19
U0220,33,Canada,Premium,2023-10-25
U0221,57,Australia,Basic,2024-08-31
U0222,39,US,Basic,2025-11-03
U0223,38,UK,Basic,2024-07-11
U0224,31,India,Basic,2025-08-05
U0225,39,India,Premium,2024-01-28
U0226,62,India,Premium,2023-09-09
U0227,18,Germany,Free,2023-08-03
U0228,23,UK,Premium,2024-05-24
U0229,44,Canada,Premium,2024-06-08
U0230,33,Australia,Basic,2026-02-11
U0231,59,Australia,Basic,2024-04-14
U0232,46,US,Free,2025-09-19
U0233,36,UK,Basic,2024-09-14
U0234,62,UK,Basic,2024-05-13
U0235,60,Germany,Basic,2024-12-30
U0236,48,Germany,Premium,2023-06-14
U0237,40,Canada,Premium,2024-04-22
U0238,53,India,Basic,2023-11-16
U0239,62,Canada,Basic,2024-10-05
U0240,37,India,Free,2026-02-11
U0241,25,Australia,Free,2024-05-12
U0242,38,US,Premium,2023-10-13
U0243,52,Australia,Free,2026-01-03
U0244,30,UK,Premium,2025-06-03
U0245,48,India,Premium,2024-03-20
U0246,55,Germany,Premium,2023-12-26
U0247,36,US,Free,2024-03-13
U0248,36,UK,Basic,2025-09-17
U0249,29,India,Free,2025-09-25
U0250,63,Germany,Free,2024-02-23
U0251,35,US,Free,2024-09-28
U0252,53,India,Premium,2024-05-02
U0253,26,Australia,Basic,2024-08-17
U0254,24,US,Premium,2023-05-14
U0255,36,Canada,Basic,2025-08-02
U0256,46,India,Free,2023-09-15
U0257,21,India,Basic,2024-05-13
U0258,25,US,Basic,2024-08-24
U0259,49,US,Premium,2025-03-14
U0260,58,Australia,Free,2026-01-10
U0261,27,UK,Premium,2025-02-06
U0262,37,US,Free,2025-04-01
U0263,25,Germany,Basic,2023-12-16
U0264,56,Germany,Premium,2023-12-08
U0265,32,Germany,Basic,2025-10-08
U0266,46,Canada,Basic,2025-02-14
U0267,55,Canada,Basic,2023-05-01
U0268,54,Germany,Free,2023-07-10
U0269,57,Australia,Free,2024-04-01
U0270,31,Australia,Free,2023-09-19
U0271,34,Australia,Free,2025-04-22
U0272,28,UK,Free,2025-06-20
U0273,53,US,Free,2025-07-13
U0274,18,Canada,Basic,2024-02-20
U0275,62,Germany,Basic,2025-07-04
U0276,36,US,Free,2024-11-15
U0277,36,Australia,Basic,2025-09-12
U0278,62,Canada,Free,2024-12-05
U0279,61,UK,Basic,2024-11-16
U0280,58,Germany,Premium,2024-05-11
U0281,30,Canada,Free,2023-08-03
U0282,52,UK,Premium,2024-09-03
U0283,27,India,Free,2025-04-15
U0284,22,US,Free,2025-04-10
U0285,37,Germany,Premium,2026-02-08
U0286,54,India,Basic,2024-03-27
U0287,25,Canada,Premium,2024-12-19
U0288,37,Australia,Basic,2024-06-12
U0289,35,Germany,Premium,2024-10-18
U0290,49,Canada,Free,2025-06-11
U0291,56,US,Basic,2023-06-16
U0292,65,India,Premium,2023-06-02
U0293,34,US,Free,2023-08-10
U0294,32,Australia,Premium,2023-10-20
U0295,55,US,Premium,2023-12-18
U0296,35,Germany,Free,2023-11-26
U0297,29,Canada,Premium,2023-04-23
U0298,59,Canada,Basic,2024-11-02
U0299,29,Germany,Basic,2025-10-22
U0300,58,Canada,Free,2024-05-17
U0301,48,India,Basic,2025-01-20
U0302,39,India,Premium,2023-06-10
U0303,24,UK,Basic,2025-09-02
U0304,44,Australia,Basic,2024-12-02
U0305,36,Australia,Basic,2025-08-28
U0306,53,US,Basic,2026-01-27
U0307,23,India,Basic,2024-09-05
U0308,38,US,Basic,2024-07-29
U0309,50,US,Premium,2024-12-27
U0310,52,Canada,Basic,2023-04-22
U0311,21,UK,Premium,2023-11-05
U0312,41,Germany,Basic,2025-06-29
U0313,58,Canada,Free,2025-10-19
U0314,31,India,Premium,2024-11-13
U0315,26,India,Basic,2024-06-16
U0316,62,Canada,Free,2024-06-15
U0317,19,Australia,Premium,2025-03-02
U0318,33,Australia,Free,2025-01-30
U0319,37,Germany,Free,2023-04-22
U0320,53,Canada,Free,2024-11-19
U0321,32,US,Basic,2025-10-05
U0322,25,Australia,Free,2023-07-07
U0323,49,Australia,Basic,2023-11-07
U0324,50,Australia,Basic,2024-12-29
U0325,44,Canada,Basic,2025-08-24
U0326,33,Canada,Premium,2025-04-16
U0327,27,Canada,Free,2023-12-08
U0328,56,Germany,Premium,2024-04-04
U0329,26,US,Basic,2024-10-25
U0330,44,India,Premium,2025-03-07
U0331,35,US,Basic,2023-07-12
U0332,64,India,Premium,2023-06-02
U0333,55,Australia,Basic,2024-12-06
U0334,27,Canada,Premium,2025-05-27
U0335,48,India,Basic,2024-02-05
U0336,53,Germany,Basic,2025-02-01
U0337,47,India,Free,2023-08-13
U0338,62,UK,Premium,2024-03-31
U0339,42,UK,Basic,2024-01-06
U0340,20,India,Premium,2025-06-23
U0341,48,Australia,Basic,2025-04-10
U0342,42,Australia,Premium,2025-05-06
U0343,27,Canada,Free,2023-06-15
U0344,26,Germany,Premium,2025-03-06
U0345,39,US,Basic,2023-11-25
U0346,24,Germany,Basic,2023-08-28
U0347,18,Australia,Free,2025-09-28
U0348,44,Australia,Free,2024-01-07
U0349,22,Canada,Basic,2025-01-24
U0350,39,Germany,Premium,2024-04-26
U0351,43,Australia,Free,2024-07-26
U0352,39,Australia,Premium,2023-08-31
U0353,42,India,Premium,2023-10-24
U0354,63,Canada,Premium,2025-09-11
U0355,20,Germany,Free,2024-12-04
U0356,33,Australia,Premium,2025-02-05
U0357,36,UK,Premium,2023-08-29
U0358,23,Canada,Free,2023-08-14
U0359,58,Australia,Free,2024-12-09
U0360,46,UK,Premium,2025-09-27
U0361,37,US,Free,2024-01-05
U0362,38,US,Basic,2024-10-09
U0363,40,India,Basic,2025-11-30
U0364,27,UK,Premium,2023-08-04
U0365,44,Germany,Premium,2025-12-21
U0366,29,UK,Free,2024-04-19
U0367,23,Germany,Basic,2025-06-22
U0368,57,Australia,Free,2023-08-28
U0369,49,Germany,Free,2026-03-14
U0370,32,Canada,Premium,2023-09-24
U0371,34,Canada,Basic,2024-05-13
U0372,60,US,Basic,2025-10-20
U0373,36,Australia,Premium,2024-02-20
U0374,28,US,Basic,2025-05-27
U0375,40,Germany,Basic,2024-05-27
U0376,58,Canada,Premium,2025-03-08
U0377,34,Canada,Basic,2023-04-25
U0378,30,Canada,Basic,2024-05-03
U0379,24,UK,Basic,2024-09-22
U0380,54,India,Premium,2025-01-29
U0381,36,Australia,Basic,2024-07-24
U0382,19,Australia,Basic,2025-02-22
U0383,35,US,Premium,2025-03-10
U0384,61,Australia,Free,2024-10-01
U0385,56,Australia,Basic,2023-08-27
U0386,36,UK,Premium,2024-11-16
U0387,40,UK,Premium,2024-07-14
U0388,30,Germany,Basic,2023-10-22
U0389,61,Australia,Premium,2023-08-29
U0390,61,UK,Premium,2024-01-02
U0391,24,Australia,Premium,2024-09-14
U0392,20,India,Basic,2024-01-31
U0393,20,Germany,Basic,2025-03-29
U0394,64,UK,Free,2023-12-21
U0395,36,India,Premium,2025-06-11
U0396,44,UK,Free,2024-03-19
U0397,26,Germany,Basic,2023-10-20
U0398,51,Germany,Basic,2023-12-12
U0399,28,India,Basic,2023-07-23
U0400,36,Australia,Basic,2024-05-14
U0401,25,Canada,Free,2023-05-29
U0402,27,UK,Premium,2025-11-07
U0403,64,Australia,Basic,2024-04-05
U0404,53,India,Free,2025-04-13
U0405,43,US,Basic,2024-02-18
U0406,52,US,Basic,2023-06-21
U0407,41,Australia,Premium,2023-10-14
U0408,61,India,Premium,2023-11-02
U0409,42,Australia,Basic,2025-06-23
U0410,24,Australia,Free,2025-06-18
U0411,48,US,Premium,2023-08-14
U0412,53,India,Premium,2025-02-13
U0413,32,Australia,Free,2025-03-21
U0414,58,Canada,Premium,2023-12-13
U0415,37,Australia,Basic,2024-11-07
U0416,25,UK,Free,2025-03-24
U0417,20,India,Basic,2024-10-03
U0418,25,US,Free,2025-07-24
U0419,52,UK,Basic,2023-08-17
U0420,47,India,Premium,2025-09-05
U0421,65,Australia,Premium,2025-07-15
U0422,44,Germany,Premium,2024-08-27
U0423,64,UK,Basic,2023-08-19
U0424,59,US,Basic,2025-03-08
U0425,57,Canada,Basic,2024-11-20
U0426,20,Australia,Basic,2025-05-09
U0427,31,Canada,Basic,2024-12-07
U0428,33,India,Free,2025-02-15
U0429,61,India,Premium,2024-05-04
U0430,59,India,Free,2024-10-20
U0431,43,India,Free,2023-11-07
U0432,25,Canada,Free,2025-10-03
U0433,60,UK,Premium,2025-03-21
U0434,58,Germany,Free,2025-01-15
U0435,21,India,Free,2023-08-26
U0436,26,Germany,Free,2025-10-09
U0437,22,Germany,Free,2024-07-21
U0438,55,UK,Free,2025-03-31
U0439,39,UK,Premium,2025-03-16
U0440,18,India,Free,2024-03-01
U0441,26,Germany,Basic,2024-12-05
U0442,29,US,Premium,2025-06-29
U0443,19,UK,Free,2024-08-01
U0444,40,UK,Premium,2026-01-08
U0445,38,US,Free,2025-07-01
U0446,34,US,Free,2023-11-20
U0447,65,Canada,Premium,2025-01-14
U0448,25,Australia,Free,2024-03-25
U0449,48,Canada,Basic,2026-02-14
U0450,50,Germany,Free,2025-01-27
U0451,46,Germany,Free,2025-02-08
U0452,57,US,Premium,2024-04-12
U0453,60,Germany,Basic,2024-09-04
U0454,47,Australia,Free,2025-09-21
U0455,21,Canada,Basic,2024-06-06
U0456,45,Australia,Free,2026-01-09
U0457,49,Australia,Basic,2026-02-28
U0458,22,US,Basic,2024-07-22
U0459,56,UK,Free,2025-07-20
U0460,26,India,Premium,2023-11-01
U0461,58,Germany,Premium,2025-06-19
U0462,63,India,Basic,2026-01-18
U0463,56,Germany,Basic,2025-07-22
U0464,47,Germany,Premium,2026-01-12
U0465,45,US,Premium,2025-03-11
U0466,25,Australia,Premium,2023-10-28
U0467,53,Australia,Free,2023-05-05
U0468,45,Canada,Free,2023-10-27
U0469,44,India,Basic,2023-09-25
U0470,43,Canada,Premium,2023-07-17
U0471,24,India,Basic,2023-06-20
U0472,38,Australia,Basic,2025-12-13
U0473,41,UK,Premium,2025-03-08
U0474,48,US,Free,2023-08-13
U0475,23,US,Basic,2023-12-14
U0476,24,Australia,Premium,2024-11-04
U0477,41,UK,Premium,2026-03-12
U0478,21,Germany,Premium,2023-08-01
U0479,53,India,Premium,2024-08-03
U0480,25,Canada,Basic,2025-04-26
U0481,60,Canada,Premium,2024-01-10
U0482,21,India,Premium,2024-03-11
U0483,37,India,Free,2025-01-05
U0484,54,Germany,Free,2024-07-10
U0485,27,Australia,Basic,2025-10-14
U0486,32,US,Basic,2024-12-28
U0487,53,India,Free,2025-07-01
U0488,35,Germany,Free,2025-12-18
U0489,45,Germany,Premium,2025-06-01
U0490,57,Australia,Premium,2024-08-21
U0491,53,US,Premium,2024-08-12
U0492,60,Australia,Basic,2023-08-21
U0493,19,UK,Basic,2023-10-09
U0494,62,India,Basic,2024-02-25
U0495,40,US,Free,2023-12-22
U0496,27,Germany,Premium,2024-01-19
U0497,43,US,Free,2023-08-14
U0498,65,Australia,Free,2026-01-21
U0499,23,Australia,Premium,2025-08-23
U0500,31,Canada,Basic,2025-08-07
