user_id,last_watch_date,days_inactive,churn_risk
U0131,2026-04-19,0,Low Risk
U0132,2026-03-19,31,Medium Risk
U0133,2026-04-09,10,Low Risk
U0134,2026-04-10,9,Low Risk
U0135,2026-04-09,10,Low Risk
U0136,2026-04-08,11,Low Risk
U0137,2026-03-21,29,Low Risk
U0138,2026-03-23,27,Low Risk
U0139,2026-03-31,19,Low Risk
U0140,2026-04-19,0,Low Risk
U0141,2026-04-19,0,Low Risk
U0142,2026-03-18,32,Medium Risk
U0143,2026-04-05,14,Low Risk
U0144,2026-04-17,2,Low Risk
U0145,2026-04-07,12,Low Risk
U0146,2026-04-18,1,Low Risk
U0147,2026-02-25,53,Medium Risk
U0148,2026-02-18,60,Medium Risk
U0149,2026-04-09,10,Low Risk
U0150,2026-04-14,5,Low Risk
U0151,2026-03-17,33,Medium Risk
U0152,2026-04-17,2,Low Risk
U0153,2026-04-03,16,Low Risk
U0154,2026-01-06,103,High Risk
U0155,2026-03-22,28,Low Risk
U0156,2026-04-05,14,Low Risk
U0157,2026-04-06,13,Low Risk
U0158,2026-04-12,7,Low Risk
U0159,2026-04-12,7,Low Risk
U0160,2026-04-05,14,Low Risk
U0161,2026-04-16,3,Low Risk
U0162,2026-04-17,2,Low Risk
U0163,2026-04-15,4,Low Risk
U0164,2026-04-01,18,Low Risk
U0165,2026-03-20,30,Low Risk
U0166,2026-04-05,14,Low Risk
U0167,2026-04-07,12,Low Risk
U0168,2026-04-13,6,Low Risk
U0169,2026-02-12,66,High Risk
U0170,2026-03-09,41,Medium Risk
U0171,2025-12-27,113,High Risk
U0172,2026-03-21,29,Low Risk
U0173,2026-04-12,7,Low Risk
U0174,2026-04-12,7,Low Risk
U0175,2026-04-19,0,Low Risk
U0176,2026-04-02,17,Low Risk
U0177,2026-04-19,0,Low Risk
U0178,2026-02-08,70,High Risk
U0179,2026-03-29,21,Low Risk
U0180,2026-04-01,18,Low Risk
U0181,2026-04-03,16,Low Risk
U0182,2026-04-15,4,Low Risk
U0183,2026-03-30,20,Low Risk
U0184,2026-03-31,19,Low Risk
U0185,2026-02-20,58,Medium Risk
U0186,2026-04-19,0,Low Risk
U0187,2026-03-16,34,Medium Risk
U0188,2026-03-08,42,Medium Risk
U0189,2026-03-30,20,Low Risk
U0190,2026-04-02,17,Low Risk
U0191,2026-04-18,1,Low Risk
U0192,2026-04-13,6,Low Risk
U0193,2026-04-12,7,Low Risk
U0194,2026-04-16,3,Low Risk
U0195,2026-04-10,9,Low Risk
U0196,2026-02-22,56,Medium Risk
U0197,2026-03-13,37,Medium Risk
U0198,2026-04-15,4,Low Risk
U0199,2026-04-18,1,Low Risk
U0200,2026-04-01,18,Low Risk
U0201,2026-03-15,35,Medium Risk
U0202,2026-04-18,1,Low Risk
U0203,2026-04-10,9,Low Risk
U0204,2026-04-11,8,Low Risk
U0205,2026-04-14,5,Low Risk
U0206,2026-04-03,16,Low Risk
U0207,2026-03-23,27,Low Risk
U0208,2026-02-19,59,Medium Risk
U0209,2026-04-06,13,Low Risk
U0210,2026-04-14,5,Low Risk
U0211,2026-04-11,8,Low Risk
U0212,2026-04-04,15,Low Risk
U0213,2026-03-12,38,Medium Risk
U0214,2026-03-25,25,Low Risk
U0215,2026-04-16,3,Low Risk
U0216,2026-04-09,10,Low Risk
U0217,2026-03-10,40,Medium Risk
U0218,2026-03-24,26,Low Risk
U0219,2026-04-15,4,Low Risk
U0220,2026-02-02,76,High Risk
U0221,2026-04-17,2,Low Risk
U0222,2026-04-10,9,Low Risk
U0223,2026-04-07,12,Low Risk
U0224,2026-03-28,22,Low Risk
U0225,2026-04-04,15,Low Risk
U0226,2026-04-06,13,Low Risk
U0227,2026-03-27,23,Low Risk
U0228,2026-02-27,51,Medium Risk
U0229,2026-04-14,5,Low Risk
U0230,2026-04-18,1,Low Risk
U0231,2026-04-13,6,Low Risk
U0232,2026-04-18,1,Low Risk
U0233,2026-03-30,20,Low Risk
U0234,2026-04-10,9,Low Risk
U0235,2026-02-26,52,Medium Risk
U0236,2026-03-03,47,Medium Risk
U0237,2026-03-26,24,Low Risk
U0238,2026-04-13,6,Low Risk
U0239,2026-04-07,12,Low Risk
U0240,2026-04-14,5,Low Risk
U0241,2026-02-19,59,Medium Risk
U0242,2026-02-12,66,High Risk
U0243,2026-04-17,2,Low Risk
U0244,2026-04-16,3,Low Risk
U0245,2026-04-11,8,Low Risk
U0246,2026-04-18,1,Low Risk
U0247,2026-04-02,17,Low Risk
U0248,2026-03-19,31,Medium Risk
U0249,2026-04-11,8,Low Risk
U0250,2026-04-19,0,Low Risk
U0251,2026-04-11,8,Low Risk
U0252,2026-04-06,13,Low Risk
U0253,2026-04-11,8,Low Risk
U0254,2026-04-02,17,Low Risk
U0255,2026-04-11,8,Low Risk
U0256,2026-04-16,3,Low Risk
U0257,2026-03-22,28,Low Risk
U0258,2026-04-05,14,Low Risk
U0259,2026-04-15,4,Low Risk
U0260,2026-03-09,41,Medium Risk
U0261,2026-04-10,9,Low Risk
U0262,2026-04-19,0,Low Risk
U0263,2026-02-14,64,High Risk
U0264,2026-04-11,8,Low Risk
U0265,2026-03-07,43,Medium Risk
U0266,2026-04-13,6,Low Risk
U0267,2026-04-12,7,Low Risk
U0268,2026-04-13,6,Low Risk
U0269,2026-04-08,11,Low Risk
U0270,2026-03-28,22,Low Risk
U0271,2026-04-07,12,Low Risk
U0272,2026-03-14,36,Medium Risk
U0273,2026-04-18,1,Low Risk
U0274,2026-04-19,0,Low Risk
U0275,2026-04-11,8,Low Risk
U0276,2026-03-18,32,Medium Risk
U0277,2026-03-24,26,Low Risk
U0278,2026-04-17,2,Low Risk
U0279,2026-04-05,14,Low Risk
U0280,2026-03-28,22,Low Risk
U0281,2026-04-19,0,Low Risk
U0282,2026-04-16,3,Low Risk
U0283,2026-04-19,0,Low Risk
U0284,2026-03-30,20,Low Risk
U0285,2026-04-19,0,Low Risk
U0286,2026-03-26,24,Low Risk
U0287,2026-03-07,43,Medium Risk
U0288,2026-04-15,4,Low Risk
U0289,2026-04-03,16,Low Risk
U0290,2026-04-19,0,Low Risk
U0291,2026-04-14,5,Low Risk
U0292,2026-03-28,22,Low Risk
U0293,2026-03-12,38,Medium Risk
U0294,2026-04-16,3,Low Risk
U0295,2026-04-15,4,Low Risk
U0296,2026-04-10,9,Low Risk
U0297,2026-04-09,10,Low Risk
U0298,2026-03-09,41,Medium Risk
U0299,2026-04-03,16,Low Risk
U0300,2026-04-10,9,Low Risk
U0301,2026-04-09,10,Low Risk
U0302,2026-02-03,75,High Risk
U0303,2026-04-19,0,Low Risk
U0304,2026-04-12,7,Low Risk
U0305,2026-04-09,10,Low Risk
U0306,2026-02-22,56,Medium Risk
U0307,2026-03-19,31,Medium Risk
U0308,2026-03-14,36,Medium Risk
U0309,2026-04-01,18,Low Risk
U0310,2026-04-17,2,Low Risk
U0311,2026-02-18,60,Medium Risk
U0312,2026-03-27,23,Low Risk
U0313,2026-04-11,8,Low Risk
U0314,2026-03-30,20,Low Risk
U0315,2026-04-14,5,Low Risk
U0316,2026-03-31,19,Low Risk
U0317,2026-04-01,18,Low Risk
U0318,2026-04-17,2,Low Risk
U0319,2026-04-06,13,Low Risk
U0320,2026-03-25,25,Low Risk
U0321,2026-03-31,19,Low Risk
U0322,2026-03-30,20,Low Risk
U0323,2026-04-19,0,Low Risk
U0324,2026-03-19,31,Medium Risk
U0325,2026-04-17,2,Low Risk
U0326,2026-03-19,31,Medium Risk
U0327,2026-04-08,11,Low Risk
U0328,2026-04-17,2,Low Risk
U0329,2026-04-05,14,Low Risk
U0330,2026-04-13,6,Low Risk
U0331,2026-04-14,5,Low Risk
U0332,2026-03-28,22,Low Risk
U0333,2026-04-08,11,Low Risk
U0334,2026-04-12,7,Low Risk
U0335,2026-02-24,54,Medium Risk
U0336,2026-04-18,1,Low Risk
U0337,2026-03-29,21,Low Risk
U0338,2026-04-12,7,Low Risk
U0339,2026-04-05,14,Low Risk
U0340,2026-04-09,10,Low Risk
U0341,2026-03-18,32,Medium Risk
U0342,2026-04-16,3,Low Risk
U0343,2026-03-06,44,Medium Risk
U0344,2026-03-25,25,Low Risk
U0345,2026-04-05,14,Low Risk
U0346,2026-04-11,8,Low Risk
U0347,2026-04-02,17,Low Risk
U0348,2026-03-22,28,Low Risk
U0349,2026-03-09,41,Medium Risk
U0350,2026-04-09,10,Low Risk
U0351,2026-03-31,19,Low Risk
U0352,2026-04-18,1,Low Risk
U0353,2026-04-01,18,Low Risk
U0354,2026-04-16,3,Low Risk
U0355,2026-04-16,3,Low Risk
U0356,2026-04-06,13,Low Risk
U0357,2026-03-27,23,Low Risk
U0358,2026-04-19,0,Low Risk
U0359,2026-04-14,5,Low Risk
U0360,2026-04-12,7,Low Risk
U0361,2026-02-22,56,Medium Risk
U0362,2026-03-30,20,Low Risk
U0363,2026-03-31,19,Low Risk
U0364,2026-04-18,1,Low Risk
U0365,2026-03-11,39,Medium Risk
U0366,2026-03-29,21,Low Risk
U0367,2026-03-14,36,Medium Risk
U0368,2026-04-14,5,Low Risk
U0369,2026-03-27,23,Low Risk
U0370,2026-04-14,5,Low Risk
U0371,2026-04-08,11,Low Risk
U0372,2026-03-24,26,Low Risk
U0373,2026-04-02,17,Low Risk
U0374,2026-01-05,104,High Risk
U0375,2026-04-13,6,Low Risk
U0376,2026-04-17,2,Low Risk
U0377,2026-03-31,19,Low Risk
U0378,2026-04-10,9,Low Risk
U0379,2026-04-05,14,Low Risk
U0380,2026-04-04,15,Low Risk
U0381,2026-04-06,13,Low Risk
U0382,2026-04-16,3,Low Risk
U0383,2026-02-17,61,High Risk
U0384,2026-04-19,0,Low Risk
U0385,2026-03-10,40,Medium Risk
U0386,2026-04-08,11,Low Risk
U0387,2026-04-05,14,Low Risk
U0388,2026-02-23,55,Medium Risk
U0389,2026-02-21,57,Medium Risk
U0390,2026-04-07,12,Low Risk
U0391,2026-03-20,30,Low Risk
U0392,2026-04-13,6,Low Risk
U0393,2026-04-16,3,Low Risk
U0394,2026-03-15,35,Medium Risk
U0395,2026-03-21,29,Low Risk
U0396,2026-04-14,5,Low Risk
U0397,2026-04-19,0,Low Risk
U0398,2026-03-27,23,Low Risk
U0399,2026-04-06,13,Low Risk
U0400,2026-04-11,8,Low Risk
U0401,2026-04-06,13,Low Risk
U0402,2026-03-09,41,Medium Risk
U0403,2026-02-17,61,High Risk
U0404,2026-04-10,9,Low Risk
U0405,2026-04-08,11,Low Risk
U0406,2026-04-09,10,Low Risk
U0407,2026-04-13,6,Low Risk
U0408,2026-04-07,12,Low Risk
U0409,2026-03-26,24,Low Risk
U0410,2026-01-03,106,High Risk
U0411,2026-03-27,23,Low Risk
U0412,2026-04-17,2,Low Risk
U0413,2026-04-01,18,Low Risk
U0414,2026-03-12,38,Medium Risk
U0415,2026-04-15,4,Low Risk
U0416,2026-04-08,11,Low Risk
U0417,2026-03-27,23,Low Risk
U0418,2026-03-29,21,Low Risk
U0419,2026-04-17,2,Low Risk
U0420,2026-04-15,4,Low Risk
U0421,2026-02-28,50,Medium Risk
U0422,2026-04-13,6,Low Risk
U0423,2026-02-22,56,Medium Risk
U0424,2026-03-30,20,Low Risk
U0425,2026-04-06,13,Low Risk
U0426,2026-03-06,44,Medium Risk
U0427,2026-03-25,25,Low Risk
U0428,2026-03-15,35,Medium Risk
U0429,2026-03-26,24,Low Risk
U0430,2026-02-13,65,High Risk
U0431,2026-03-13,37,Medium Risk
U0432,2026-04-06,13,Low Risk
U0433,2026-04-07,12,Low Risk
U0434,2026-03-24,26,Low Risk
U0435,2026-04-06,13,Low Risk
U0436,2026-03-06,44,Medium Risk
U0437,2026-04-11,8,Low Risk
U0438,2026-04-19,0,Low Risk
U0439,2026-03-23,27,Low Risk
U0440,2026-04-15,4,Low Risk
U0441,2026-04-15,4,Low Risk
U0442,2026-03-31,19,Low Risk
U0443,2026-03-29,21,Low Risk
U0444,2026-04-13,6,Low Risk
U0445,2026-04-18,1,Low Risk
U0446,2026-02-11,67,High Risk
U0447,2026-03-31,19,Low Risk
U0448,2026-04-13,6,Low Risk
U0449,2026-04-11,8,Low Risk
U0450,2026-04-10,9,Low Risk
U0451,2026-03-31,19,Low Risk
U0452,2026-03-28,22,Low Risk
U0453,2026-04-09,10,Low Risk
U0454,2026-04-19,0,Low Risk
U0455,2026-04-18,1,Low Risk
U0456,2026-04-19,0,Low Risk
U0457,2026-04-08,11,Low Risk
U0458,2026-04-05,14,Low Risk
U0459,2026-03-14,36,Medium Risk
U0460,2026-04-13,6,Low Risk
U0461,2026-04-01,18,Low Risk
U0462,2026-04-10,9,Low Risk
U0463,2026-03-09,41,Medium Risk
U0464,2026-04-10,9,Low Risk
U0465,2026-04-18,1,Low Risk
U0466,2026-04-06,13,Low Risk
U0467,2026-03-25,25,Low Risk
U0468,2026-03-23,27,Low Risk
U0469,2026-04-09,10,Low Risk
U0470,2025-12-01,139,High Risk
U0471,2026-03-25,25,Low Risk
U0472,2026-04-19,0,Low Risk
U0473,2026-04-05,14,Low Risk
U0474,2026-03-02,48,Medium Risk
U0475,2026-03-24,26,Low Risk
U0476,2026-04-12,7,Low Risk
U0477,2026-03-24,26,Low Risk
U0478,2026-04-11,8,Low Risk
U0479,2026-02-07,71,High Risk
U0480,2026-03-11,39,Medium Risk
U0481,2026-03-21,29,Low Risk
U0482,2026-04-16,3,Low Risk
U0483,2026-04-17,2,Low Risk
U0484,2026-03-24,26,Low Risk
U0485,2026-04-19,0,Low Risk
U0486,2026-04-13,6,Low Risk
U0487,2026-04-16,3,Low Risk
U0488,2026-02-23,55,Medium Risk
U0489,2026-02-22,56,Medium Risk
U0490,2026-03-08,42,Medium Risk
U0491,2026-03-22,28,Low Risk
U0492,2026-04-01,18,Low Risk
U0493,2026-03-31,19,Low Risk
U0494,2026-03-21,29,Low Risk
U0495,2026-04-10,9,Low Risk
U0496,2026-04-16,3,Low Risk
U0497,2026-04-02,17,Low Risk
U0498,2026-04-12,7,Low Risk
U0499,2026-03-17,33,Medium Risk
U0500,2026-04-07,12,Low Risk
